FEDNUM,Riding,Party,Vote
24003,Ahuntsic-Cartierville,Liberal,False
10004,Labrador,Liberal,False
12009,South Shore—St. Margarets,Liberal,False
35087,Richmond Hill,Liberal,False
59019,New Westminster—Burnaby,NDP,True
12001,Cape Breton—Canso,Liberal,False
48010,Calgary Rocky Ridge,Conservative,True
35104,Thornhill,Conservative,True
35060,Mississauga—Erin Mills,Liberal,False
35012,Brampton West,Liberal,False
47013,Souris—Moose Mountain,Conservative,True
48011,Calgary Shepard,Conservative,True
24078,Vimy,Liberal,False
47009,Regina—Wascana,Conservative,True
48002,Battle River—Crowfoot,Conservative,True
48008,Calgary Midnapore,Conservative,True
35116,Windsor—Tecumseh,Liberal,False
59035,Vancouver East,NDP,True
48021,Edmonton—Wetaskiwin,Conservative,True
35076,Orléans,Liberal,False
24068,Saint-Laurent,Liberal,False
46012,Winnipeg North,Liberal,False
24072,Shefford,Bloc Québécois,True
24069,Saint-Léonard—Saint-Michel,Liberal,False
24005,Argenteuil—La Petite-Nation,Liberal,False
35071,Northumberland—Peterborough South,Conservative,True
13002,Beauséjour,Liberal,False
24026,Gaspésie—Les Îles-de-la-Madeleine,Liberal,False
35103,Sudbury,Liberal,False
24007,Beauce,Conservative,True
24002,Abitibi—Témiscamingue,Bloc Québécois,True
35026,Essex,Conservative,True
48012,Calgary Signal Hill,Conservative,True
24044,Louis-Hébert,Liberal,False
48033,Sturgeon River—Parkland,Conservative,True
35040,Huron—Bruce,Conservative,True
13009,Saint John—Rothesay,Liberal,False
35032,Guelph,Liberal,False
35046,Kitchener—Conestoga,Liberal,False
47005,Moose Jaw—Lake Centre—Lanigan,Conservative,True
11001,Cardigan,Liberal,False
59010,Cowichan—Malahat—Langford,NDP,True
35080,Oxford,Conservative,True
24027,Gatineau,Liberal,False
46001,Brandon—Souris,Conservative,True
35028,Etobicoke—Lakeshore,Liberal,False
59018,Nanaimo—Ladysmith,Green Party,True
24048,Mirabel,Bloc Québécois,True
24022,Chicoutimi—Le Fjord,Conservative,True
24028,Hochelaga,Liberal,False
35117,Windsor West,NDP,True
35051,London—Fanshawe,NDP,True
59027,Saanich—Gulf Islands,Green Party,True
35016,Cambridge,Liberal,False
46004,Dauphin—Swan River—Neepawa,Conservative,True
48020,Edmonton West,Conservative,True
35013,Brantford—Brant,Conservative,True
35041,Kanata—Carleton,Liberal,False
10001,Avalon,Liberal,False
35077,Ottawa South,Liberal,False
35095,Scarborough—Guildwood,Liberal,False
35075,Ottawa Centre,Liberal,False
48004,Calgary Centre,Conservative,True
59013,Kamloops—Thompson—Cariboo,Conservative,True
61001,Northwest Territories,Liberal,False
48019,Edmonton Strathcona,NDP,True
35042,Kenora,Conservative,True
24017,Brossard—Saint-Lambert,Liberal,False
35024,Eglinton—Lawrence,Liberal,False
24006,Avignon—La Mitis—Matane—Matapédia,Bloc Québécois,True
24077,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal,False
35084,Peterborough—Kawartha,Liberal,False
13004,Fundy Royal,Conservative,True
46002,Charleswood—St. James—Assiniboia—Headingley,Conservative,True
59015,Kootenay—Columbia,Conservative,True
11003,Egmont,Liberal,False
48027,Medicine Hat—Cardston—Warner,Conservative,True
59039,Vancouver Quadra,Liberal,False
35083,Perth—Wellington,Conservative,True
35055,Markham—Thornhill,Liberal,False
24067,Saint-Jean,Bloc Québécois,True
35085,Pickering—Uxbridge,Liberal,False
35021,Don Valley West,Liberal,False
10007,St. John's South—Mount Pearl,Liberal,False
47002,Cypress Hills—Grasslands,Conservative,True
24019,Charlesbourg—Haute-Saint-Charles,Conservative,True
24060,Repentigny,Bloc Québécois,True
24012,Berthier—Maskinongé,Bloc Québécois,True
13007,Moncton—Riverview—Dieppe,Liberal,False
24009,Bécancour—Nicolet—Saurel,Bloc Québécois,True
35088,Carleton,Conservative,True
35105,Thunder Bay—Rainy River,Liberal,False
62001,Nunavut,NDP,True
59011,Delta,Liberal,False
35019,Don Valley East,Independent,True
24061,Richmond—Arthabaska,Conservative,True
47012,Saskatoon West,Conservative,True
12006,Halifax West,Liberal,False
35049,Lanark—Frontenac—Kingston,Conservative,True
48009,Calgary Nose Hill,Conservative,True
48001,Banff—Airdrie,Conservative,True
24065,Marc-Aurèle-Fortin,Liberal,False
24029,Honoré-Mercier,Liberal,False
10002,Bonavista—Burin—Trinity,Liberal,False
24041,Longueuil—Charles-LeMoyne,Liberal,False
35048,Lambton—Kent—Middlesex,Conservative,True
35014,Bruce—Grey—Owen Sound,Conservative,True
35010,Brampton North,Liberal,False
48013,Calgary Skyview,Conservative,True
35045,Kitchener Centre,Liberal,False
59040,Vancouver South,Liberal,False
35118,York Centre,Liberal,False
12008,Sackville—Preston—Chezzetcook,Liberal,False
35008,Brampton Centre,Independent,True
59032,Surrey Centre,Liberal,False
35056,Markham—Unionville,Conservative,True
24066,Saint-Hyacinthe—Bagot,Bloc Québécois,True
24036,Lac-Saint-Louis,Liberal,False
47008,Regina—Qu'Appelle,Conservative,True
24074,Vaudreuil—Soulanges,Liberal,False
35034,Haliburton—Kawartha Lakes—Brock,Conservative,True
35043,King—Vaughan,Liberal,False
35022,Dufferin—Caledon,Conservative,True
35069,Nickel Belt,Liberal,False
35121,Humber River—Black Creek,Liberal,False
24021,Châteauguay—Lacolle,Liberal,False
35092,Sault Ste. Marie,Liberal,False
48003,Bow River,Conservative,True
59023,Port Moody—Coquitlam,Conservative,True
35005,Barrie—Springwater—Oro-Medonte,Conservative,True
35009,Brampton East,Liberal,False
35011,Brampton South,Liberal,False
24032,Jonquière,Bloc Québécois,True
10003,Coast of Bays—Central—Notre Dame,Liberal,False
59003,Burnaby South,NDP,True
35111,Vaughan—Woodbridge,Liberal,False
48034,Yellowhead,Conservative,True
35061,Mississauga—Lakeshore,Liberal,False
35100,Simcoe North,Conservative,True
47007,Regina—Lewvan,Conservative,True
24031,Joliette,Bloc Québécois,True
59006,Chilliwack—Hope,Conservative,True
48025,Lakeland,Conservative,True
35030,Flamborough—Glanbrook,Conservative,True
35047,Kitchener South—Hespeler,Independent,False
35038,Hamilton West—Ancaster—Dundas,Liberal,False
24050,Montcalm,Bloc Québécois,True
24034,La Prairie,Bloc Québécois,True
47011,Saskatoon—University,Conservative,True
24055,Papineau,Liberal,False
24043,Longueuil—Saint-Hubert,Bloc Québécois,True
35114,Whitby,Liberal,False
48017,Edmonton Mill Woods,Conservative,True
35065,Newmarket—Aurora,Liberal,False
35057,Milton,Liberal,False
59016,Langley—Aldergrove,Conservative,True
46009,Saint Boniface—Saint Vital,Liberal,False
35079,Ottawa West—Nepean,Liberal,False
35101,Spadina—Fort York,Liberal,False
35025,Elgin—Middlesex—London,Conservative,True
47003,Desnethé—Missinippi—Churchill River,Conservative,True
48028,Peace River—Westlock,Conservative,True
24008,Beauport—Limoilou,Bloc Québécois,True
35081,Parkdale—High Park,Liberal,False
59017,Mission—Matsqui—Fraser Canyon,Conservative,True
47014,Yorkton—Melville,Conservative,True
48024,Grande Prairie—Mackenzie,Conservative,True
47010,Saskatoon—Grasswood,Conservative,True
48005,Calgary Confederation,Conservative,True
59042,West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,False
59021,North Vancouver,Liberal,False
13008,New Brunswick Southwest,Conservative,True
59036,Vancouver Granville,Independent,True
59025,Richmond Centre,Conservative,True
35093,Scarborough—Agincourt,Liberal,False
35053,London West,Liberal,False
48023,Fort McMurray—Cold Lake,Conservative,True
35094,Scarborough Centre,Liberal,False
12003,Cumberland—Colchester,Liberal,True
59024,Prince George—Peace River—Northern Rockies,Conservative,True
24056,Pierrefonds—Dollard,Liberal,False
