FEDNUM,Riding,Party
35051,London—Fanshawe,NDP
10005,Long Range Mountains,Liberal
24041,Longueuil—Charles-LeMoyne,Liberal
24043,Longueuil—Saint-Hubert,Bloc Québécois
24044,Louis-Hébert,Liberal
24045,Louis-Saint-Laurent,Conservative
13005,Madawaska—Restigouche,Liberal
11004,Malpeque,Liberal
24046,Manicouagan,Bloc Québécois
24065,Marc-Aurèle-Fortin,Liberal
35054,Markham—Stouffville,Liberal
35055,Markham—Thornhill,Liberal
35056,Markham—Unionville,Conservative
48027,Medicine Hat—Cardston—Warner,Conservative
24047,Mégantic—L'Érable,Conservative
35057,Milton,Liberal
24048,Mirabel,Bloc Québécois
13006,Miramichi—Grand Lake,Liberal
59017,Mission—Matsqui—Fraser Canyon,Conservative
35058,Mississauga Centre,Liberal
35059,Mississauga East—Cooksville,Liberal
35060,Mississauga—Erin Mills,Liberal
35061,Mississauga—Lakeshore,Liberal
35062,Mississauga—Malton,Liberal
35063,Mississauga—Streetsville,Liberal
13007,Moncton—Riverview—Dieppe,Liberal
24049,Montarville,Bloc Québécois
24050,Montcalm,Bloc Québécois
24051,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative
47005,Moose Jaw—Lake Centre—Lanigan,Conservative
24052,Mount Royal,Liberal
59018,Nanaimo—Ladysmith,Green Party
35064,Nepean,Liberal
13008,New Brunswick Southwest,Conservative
59019,New Westminster—Burnaby,NDP
35065,Newmarket—Aurora,Liberal
35066,Niagara Centre,Liberal
35067,Niagara Falls,Conservative
35068,Niagara West,Conservative
35069,Nickel Belt,Liberal
35070,Nipissing—Timiskaming,Liberal
59037,North Island—Powell River,NDP
59020,North Okanagan—Shuswap,Conservative
59021,North Vancouver,Liberal
35071,Northumberland—Peterborough South,Conservative
61001,Northwest Territories,Liberal
24053,Notre-Dame-de-Grâce—Westmount,Liberal
62001,Nunavut,NDP
35072,Oakville,Liberal
35073,Oakville North—Burlington,Liberal
35076,Orléans,Liberal
35074,Oshawa,Conservative
35075,Ottawa Centre,Liberal
35077,Ottawa South,Liberal
35079,Ottawa West—Nepean,Liberal
35078,Ottawa—Vanier,Liberal
24054,Outremont,Liberal
35080,Oxford,Conservative
24055,Papineau,Liberal
35081,Parkdale—High Park,Liberal
35082,Parry Sound—Muskoka,Conservative
48028,Peace River—Westlock,Conservative
35083,Perth—Wellington,Conservative
35084,Peterborough—Kawartha,Liberal
35085,Pickering—Uxbridge,Liberal
24014,Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois
24056,Pierrefonds—Dollard,Liberal
